,sentence,hate,category
4275,এই মিন্নী মাগির বিচার না হলে আরও হাজার মিন্নীর জন্ম হবে।।।এইটা একটা রাস্তার মাগি,1,crime
4889,ওরে মাগির ঘরের মাগি চোদানোর সময় খেয়েল ছিল না সিসি ক্যামেরা আছে সেটা হ্যাকারা মাঝে মাঝে ভালো কাজ করে এটাই তার প্রমাণ,1,crime
5225,নয়ন কুত্তার বাচ্চারে প্রকাশ্যে জবাই করা হোক,1,crime
7472,এ কুত্তার বাচ্চা তো চোর হালারে জুতা দিয়ে পিঠা,1,politics
3605,মানুষ নামে জানোয়ারগুলো দাঁড়িয়ে তামাসা দেখছে । একটি লোক ও কি ছিলো না এই পশুগুলোকে বাঁধা সৃষ্টি করতে ? হায়রে আমার সোনার বাংলাদেশ !!!,1,crime
1052,সাকিব ছাড়া বাংলাদেশ অচল পাপন খানকি পোলা তুই পদতেগ চাই,1,sports
4156,মসজিদের সহর মাগিদের আড্ডা জুয়ার আড্ডা আবার মাগিরা বলে নাকি ডিলার শিপ মাল ঠিক আছে,1,crime
9676,এই গাধার দল ওখানে রাম মন্দির ছিল আগে আলোচোনা হোক রাম মন্দির কেন ভাঙা হয়েছিল যে বলবির মুসলমান হয়েছে তার আহলে গরু খাওয়ার লোব জেগেছে মুসলমানদের আল্লা হচ্ছে হিন্দুদের শিব এটা প্রমানিত শত্ত আফগানিস্থানের নাম ছিল কুশশথলি জার রাজা ছিল রামের ছেলে কুশ,1,"Meme, TikTok and others"
99,পাপন মাদারচোদ 🖕😡😡,1,sports
7508,কোথায় খালেদা জিয়া হাতি কাওয়া কাদের শাতে ছাগলের তুলনা,1,politics
1456,মাদারচোদ। তুই। যে জুয়াখেলার। দরা খাইছোস। তোর। বিচার। হবো না আবার। ইংল্যাডে ই যে জুয়াতে দরা খাইলো ওর। তো বিচার। হলো মাদারচোদ।,1,sports
7688,চুদার সুশীল আসছে,1,celebrity
4004,গোটা বাংলাদেশ আজ বেশ্যাপাড়া হয়ে গেছে,1,crime
6866,আরে মাগী তরও জায়গা নাই আলীগে,1,politics
4509,চোদার দেশ ধর্ষনের দেশ গুজবের দেশ লুটপাটের দেশ পাগলের দেশ যারজ সন্তানের দেশ খানকি মাগির দেশ ভাইরালের দেশ কল্লা কাটার দেশ অত্যাচারের দেশ জুলুমের দেশ বিচারহীনের দেশ কোটি কোটি টাকা গায়েবের দেশ আমাদের এই চুনার সরি সুনার বাংলাদেশ।। আমি তুমাকেই ভালবেসে চুদে যাব।,1,crime
3299,এই মাদারচোদ জনগণের কি সেবা করবো,1,crime
3799,ও এস ডি ও এস ডি মারাও হগ্গলে বাল ডা মানে কি সেইডা কও না ক্যা,1,crime
4281,হোক সে জেলা প্রশাসক ধোনের জ্বালা তো আছে নাকি!,1,crime
9051,এই কুত্তারে সামনে পাইলে আল্লার কছম আমি চামচা ছিল্লা লবন দিতাম ওর জীবন ধ্বংস হউক এটাই প্রার্থমা করি,1,"Meme, TikTok and others"
6462,কুত্তার বাচ্চা দেওয়ান বাগীকে গুলি করে মারলে কোন পাপ হবে না।,1,religion
7912,তুই বান্দির পুয়া,1,celebrity
1414,পাপনকে কুত্তা দিয়ে চুদাই,1,sports
540,পাপনের মেয়ে রে চুদি,1,sports
5815,মাদারচোদ লোপা তরে পাইলে আমি কেলাইতম আর খেলাইতাম। তকে দেখে চুদার ইচ্ছা করে,1,religion
8199,চাকর ইকবাল(চাটেশ্বর)😑,1,celebrity
3680,চুদতে ভাল লাগে,1,crime
754,আর সৌম্য চুদিরভাই এইডা একটা শট খেল্লি জাতীয় টিমের ওপেনার হয়ে আর কবে খেলা শিখবি😡😡😡,1,sports
4196,এইমাগিআগেথেকেবাইরেখাওয়ারঅববাস।এককলায়মাগিরহয়না।,1,crime
2650,এ অনুষ্ঠানে এখানে বন্ধ করার অনুরোধ রইলো সব মাদারচোদ পরিচালক আমার সাথে কে কে একমত লাইক দিন,1,entertainment
4522,দেশের মারে তো তারায় চুদে দিছে।,1,crime
9519,চুপ কর শালী তুই কাকে খুশি করেছিস,1,"Meme, TikTok and others"
3118,সবচেয়ে ভালো লাগছে বিচারক কুত্তার বাচ্চারা,1,entertainment
3728,সরকারে বাল ফালাইতে পারবো পরে যেই সেই হয় কোন বিচার নাই দেশে🙏🙏🙏🙏,1,crime
3886,এই বদমাইশ লুচ্চা ডিসির পদক কেড়ে নিয়ে যে ভিডিও টি আপলোড দিয়েছে তাকে দেয়া হউক।,1,crime
7107,আমি কোন রাজনৈতিক করিনা।কিন্তু কুত্তা লীগের মাইরে চুদি,1,politics
8068,"এইডা দেহি ছাগুর   খোয়াড়....?   ছাগু সমাজ এই খানে কাডল পাতা নেই,মগবাজারে লাইন ধরেন......",1,celebrity
7325,ড়িম লিগ হলোকুত্তা লিগ,1,politics
8483,ভালো হয়েছে শালা ধরে নিয়ে গেছে যে বাপ মা জনম দিলো তাদের গায়ে হাত দেওয়া হাত ভেঙে রেখে দিতে,1,"Meme, TikTok and others"
8767,মাগীর সংবাদ মিথ্যা,1,"Meme, TikTok and others"
6500,এই শয়তানের মাহফিলে লক্ষ্য লক্ষ্য মানুষ দেখতে পেলাম তারা আসলে মানুষ না সব গরু ছাগল। আমার নিজেস্য গবেষণাগারে গবেষনা করে দেখলাম বাংলাদেশে মানুষের চেয়ে গরু ছাগলের সংখা অনেক বেশী। আমরা সবাই জান জ্ঞানহীন মানুষ পশুর সমান।কুরআান হাদিসে সবকিছু স্পষ্ট করে বলে দেয়ার পরেও যারা জ্ঞান অর্জন করতে পারে নাই তারা গরু ছাগলই।,1,religion
8426,কুত্তে কা ধুম কাভী সী'ধে নাহী হোতাহে!!😜😜,1,celebrity
7963,তুই হইলি আসল খানকির পোলা,1,celebrity
601,সবাই বুঝে ভাই । পাপন কুক্তার বাচ্চা জানোয়ারের কাজ। পাপন মাদার চোট,1,sports
9249,তুর মতো নায়ক কে৷ চুদি না,1,"Meme, TikTok and others"
8919,বেষ্যা মাগি,1,"Meme, TikTok and others"
6814,ওই নোমো মাগিরে আনছে কে ওখানে লুচ্চা কাদের,1,politics
5411,জানুয়ার এরা,1,religion
8747,ওদের কপালে জুতা মারআর যে শালি েএসব রেকর্ড করেছে সেই মনে হয একসময় পর্ন তারকা ছিলেন জুতা মারি তোর কপালে,1,"Meme, TikTok and others"
5522,কুত্তার বাচ্চা ভন্ড তাহেরীর কতল করা উচিত এ মাল মুরতাদ হয়ে গেছে ইসলামের ক্ষতি করছে জেকের এই ভবে করে পাগল মাল,1,religion
1044,তোমাকে কুত্তা দিয়ে চুদানো উচিৎ বেশি কিছু বললাম না,1,sports
7334,তোর বাবা জংগি চুতিয়া,1,politics
1557,পাপন একটা কুত্তার বাচ্চা,1,sports
3739,জুতা দিয়া পিডাইয়া শালারে লক্ষী সারান লাগে,1,crime
3522,চুতমারানি আবার বলে স্যারের দোষ নাই😃। চোদ্দা চোদ্দির আগে সন্তান স্বামীর কথা মনে ছিলো না। ডিসি বইলা কথা।চোদ্দলে চুতমারানি ☺ খুশি। জনগণ কি দুধু খাই।,1,crime
180,পাপোন আস্তা মাদারিরছোদ,1,sports
2115,মাসুদ রানা কে তিনটা বিচিওয়ালা মানুষ 😒,1,entertainment
1699,বেশ্যা মিথীলা নোমো মাগি,1,entertainment
1379,ভাই আপনার ভিডিওটি শুনে অনেক খারাপ লাগছে মন চাইছে পাপন কুত্তার বাচ্ছাকে জুতা পিঠা করি।এটা এই কুত্তার বাচ্ছার চক্রান্ত।,1,sports
7229,আমাদের দেশের কিছু লোক আছে ক্ষমতা পেয়ে বড় বড় কথা বলে সত্য কে মিথ্যা করে আর মিথ্যা কে সত্য বানাতে চায় অপু মাগি,1,politics
9143,বানচোদ হেডিং টা পাল্টা পলাতক মানে টা কি বোকাচোদা বুঝে কথা বল,1,"Meme, TikTok and others"
618,সালা এই কারোনে বলি কাঙ্গাদেশের মানুষের না শুধু মাটিরও দোষ আছে,1,sports
3181,তুই তো একটা ফাউল।কুত্তা,1,entertainment
9851,এই রকম ছেলেকে আর ছেলের বউ কে একই গাছের সাথে পিটিয়ে ইচ্ছা মতো বারোতে হবে,1,"Meme, TikTok and others"
1600,কুওার বাচ্চা তুই দেশের ক্রিকেট ধ্বংস করবি তুই ইন্ডিয়ার দালাল আমার দেশের ক্রিকেটকে ধ্বংস করছিস তোকেজুতা পিটা করে বিসিবি থেকে ভের করা হোক,1,sports
5963,ভন্ডা মাগির দালাল,1,religion
1615,এসব কিরে ভাই ছাগল নাকি হালায় 😡,1,entertainment
5920,তাহেরি মাগির পুলারে আমি পাইলে পরিস্কারভাবে দুয়ে পেলবো,1,religion
9591,শালার দুইহাত কাটাহক,1,"Meme, TikTok and others"
3891,সালারা চোর,1,crime
2083,"বাল বানাই ছে সালা নকল বাজ, অনেক পিছনে রয়েই গেলা।",1,entertainment
4574,কিচ্ছু এইটা মিথ্যা মিন্নী একটা সয়তান নষ্ট মেয়ে তাইতো মাগির ফাঁসি চাই,1,crime
5594,সালা কুত্তা,1,religion
5121,এই বাইঞ্চদের কটিন বিছার হওয়া দরকার কি ছলছে এইশব,1,crime
4587,সালার আবাল ডিসি।,1,crime
4902,কুওার বাচ্চা পুলিশ তোদের জন্য আজ দেশের এ অবস্থা,1,crime
8252,"ছাগুরা দেখবেন রাস্তা ঘাটে মা বোনদের কে গালি শোনাতে পছন্দ করে,এখানেও কিছু ছাগু পাবেন।",1,celebrity
5916,সঠিক কতা হক কতা বললে সালাদের সরিরে গায়ে আগুন জলে? লাল পানজাবি ওলা সালারা গানজা খুর?,1,religion
5129,জনগণ এর সামনে নিয়ে জুতার বারি দিয়ে বেজ্জত করুন এই জানোয়ার কে,1,crime
8334,জাফর ধান্দাবাজরে আমার কুওাও চোদবে না  খাংকির পুলা ব্যাশ্যা -সিফাত উল্লাহ সিফাতী,1,celebrity
1918,মাসুদ রানা শোটারে বিচারকরা মাদারচোদ রানা বানাই দিসে।🤧,1,entertainment
8330,ফকিরনির বাচ্চারা তাদের বমিমার্কা কমেন্ট নিয়ে হাজির্। এদের নিজেদের বমি জোর করে খাইয়ে দেয়া উচিৎ !,1,celebrity
5707,খানকির ফুলা হাফিজুর রহমান ভন্দ আর তুই জারজ,1,religion
5384,তুই কি বুজবিরে মাগির পুত,1,religion
6336,কুত্তার বাচ্চা জারজ তোর উপর খোদার গজব পরবে দেখবি আল্লাহর বিছার ধিরে ধিরে তুই কুরআনে জুতা রাখলি খানকির পোলা মাথায় টুপি মুখে দাড়ি রাখলি গজব পরবে তোর উপর,1,religion
2054,গানটা এতদিন শুনতাম কিন্তু জানতাম না এইটা আবাল চুদার মুভির গান<br />হৃদয় খান এই আবার চুদার মুভিতে গানটা দিয়ে ভুল করছে<br />গানটা চুদে দিয়েছে,1,entertainment
7612,কাউয়া কাদেরের সথে বেগম খালেদাজিয়ার তুলনা বেপারটা হাস্যকর।।।😀😀😀,1,politics
9209,কিরে মাগির পোলা নবীকে নিয়া গালি না দিলে তোর বাবাড়া ইউরোপের ভিসা দেয় না মাগির পোলা নবীকে নিয়া কিছু বলবি না বহুদিন ধরে কুত্তা দিয়া বুইড়া চুদাইনা,1,"Meme, TikTok and others"
3963,মাগির পোলা কি কশ,1,crime
1126,পাপন্না হে একটা দালালের বাচ্চা,1,sports
3428,এরকম মাগীর পোলাদের জন্যই ধর্ষকেরা ছাড় পায়।,1,crime
4601,তো কি।বালের সিসি ক্যামেরা নিয়ে এতো কথা কিসের।আকাম করছে এটা প্রকাশ করছে তো ভালোই।দুজনেই বিবাহিত।আর শালা তুই কি বলতে চাস দুইজনের সম্মতিতে হইছে বলে এটা কেউ প্রকাশ করতে পারবে না।তাইলে তো যারা প্রেম করে নোংরামি করে নিজেদের সম্মতিতে তারা বৈধ কাজ করে।শালা তুইতো একটা আসল শয়তান।,1,crime
3721,এইটা জামায়েত শিবির ও বি এন পি র হাত আছে।। শালা বাইন চোদ,1,crime
2389,মাদার চুদ সালারা এখানে কে আনছে এদের এরা নাকি বিচারক বাল ফালাইতে আইছে তাদের জিজ্ঞেস করলে কি অভিনয় করে দেখাতে পারত শালারা।,1,entertainment
1322,শালা জাউরাতুই যে মাসে লাখ টাকা বেতন পাসওটা কি,1,sports
1603,বুদা ভাড়া দিয়ে দুধ বড় করতাছো এই টা ঐ শুনছিলাম তাই তো বলি দুইতালা এত বড় সুন্দর কেমনে হলো যাক টাকা বেশি পাইছো,1,entertainment
7224,কাউয়া কাদেরের আবার সুনাম। শালী কয় কি। এদের মত কুলাঙগার হাসিনার দালাল তোদের পাছা দিয়ে ডিম ঢুকানো দরকার।,1,politics
7425,কোথায় কাউয়া কাদের আর কোথায় সাবেক প্রধানমন্ত্রী বেগম জিয়া রাজার সাথে তুলনা কখনই হয়না,1,politics
4336,বেশ্যা মাগির পোলা তোর বোন হলে কি করতি?? মাগীর পোলা ভিডিও চোদাস।,1,crime
5593,এই কুতার বাচ্ছা,1,religion
4411,তুই যে পতিতা প্রকাশ্যে এসে সেটাই প্রমান করলি,1,crime
5858,জীবন মাএ শুরু এখন ই গিবত গাওয়া শুরু সালা বেয়াদব,1,religion
9343,সিফাইতা মাদারচুদ তরে আমি চুদি,1,"Meme, TikTok and others"
3991,আরে এই কুত্তার বাচ্চাদের ফাসি দেওয়া দেরী হয় কেন আর এই নাপিত বলে ও জানেনা কেন ফাসি হয়,1,crime
6079,তাহারী তকে কি কিছু করছে নাকি না তর মা সাথে কিছু করছে মাগির ঘর মাগি তর মারে চুদি,1,religion
1559,পাপনের মায়েরে চুদি,1,sports
4682,ফাসি চাই সালাগো,1,crime
7557,কাউয়া কাদের রেডি হয়ে জাও,1,politics
3772,সালারে জুতা মারেন,1,crime
8779,সালা সাকিব তোরে জুতা মারার দরকার,1,"Meme, TikTok and others"
3457,এসব জানোয়ারকে পাবলিক এর হাতে তুলে দেওয়া হক কারণ যারা সমাজ রক্ষা করতে পাবলিক এর বিচার করবে তারাই এসব বাজে কাজে লিপ্ত তাদের বিচার কে করবে।,1,crime
8383,শালার পুত তিনদিন পরে তোমার ঘুম ভাংছে। কয় কলকি খাইছিলা চুদিরভাই,1,celebrity
1354,এই শালারে চোরের মত লাগে বালবির,1,sports
45,পাপন একটা জুয়ারি জদি সাকিব কে ভাত দেয়া হয় তাহলে জিবনে কোনো দিন জদি সুজক পাই পাপনেরে দুই টা জুতার বারি দিমু,1,sports
9872,ঐ খানকির পূলা,1,"Meme, TikTok and others"
748,শালার পো পাপন তুই একটা মাল,1,sports
7917,"শুয়োরের বাচ্চাগুলার কাজ নাই, comment section এ লেদাইতে আসে",1,celebrity
4241,মানে দিছি চোদা দিছি চোদা🤣,1,crime
5628,হুজুর হলো পুদাপোলা,1,religion
4657,পাবলিকের কাছে ছাইরা দেন ঔ শালা ডিসি রে দেখেন বিচার করে পাবলিক,1,crime
4238,এই সব ডি সি মাদাসুদের জন্য বাংদেশে সুন্দরী কোন মেয়ে পাই নাই সব বুগ করতেছে। আর ঐ সব মগিরা উপরে উটার জন্য বছরের বুড়ার সাথে সুদা দিতে রাজি আছে। ধনে জোর থাক বা না থাক। প্রয়জনে নিয়ে সুয়ে থাকবে।তার পরেও উপরে উটতে হবে। আর এই সব ইছি ডি সির মত জত মাদার সুধরা আছে। বাংলাদের সুন্দরী মেয়েদেরকে ভোগ করতেছে। সুনার বাংলা একন আর নেই বুধার বাংলা হয়ে গেছে।,1,crime
3460,এই মাগীর জন্য দুই জনকে মরতে হলো।,1,crime
7381,অপু একটা পতিতা,1,politics
5549,নাস্তিক দের জুতা পিটা করা দরকার,1,religion
7075,হাসিনা হলো মাগী আর কুত্তা লীক মাদারসুদ আমি কোন দল করি না,1,politics
5838,সালার বেটাকে জুতার বাড়ি মার,1,religion
8091,গাঁজা খোর।  মাইয়া বাজ।  নাস্তিকের বাচ্ছা,1,celebrity
5474,ভন্ড পীর দেওয়ান বাগী কে আমি সপ্ননে দেখছি কিন্তু সকালে উঠে দেখি কাপুর ভিজা ? সালার গোয়া দিয়া গড়ম রট দিমু,1,religion
3614,লুচ্চামি করছে এখন গাঢাকাদে লুচ চা হারা মি,1,crime
7501,আওয়ামীলীগের নামে যেই মাদারচোদ যে খারাপ কথা কইবো তার খবর আছে,1,politics
7053,দেশের জঙ্গি মত ছাত্র লীগ,1,politics
7367,কাউয়া কাদেরকে নিয়ে একটি ভিডিও করার ইচ্ছা আছে। যাতে দেখাবো কাউয়া কিভাবে বক হয়ে যায়। সাব করুন। দেখতে পাবেন।,1,politics
8019,তোর মত বিচিহীন মানুষ কে এই নিয়ে মন্তব্য করা অনুচিত হবে।।।,1,celebrity
9638,তোরে জুতা মারমু,1,"Meme, TikTok and others"
9055,এদেরকে জিন্দা পুড়া উচিৎত,1,"Meme, TikTok and others"
664,পাপনের পাছায় সিদ্ধ ডিম পুরা হোক।,1,sports
2319,মাগির বাচ্চাগুলোকে বিচারক হিসেবে কে আনছে 😠😠😠,1,entertainment
3542,সাংবাদিকদের কোন কাজ আর নাই। সবার পাছাতে আঙুল দিতে হবে। যার সাথে ফিলিংস করছে সেতো খুশি ডিসি মহদউয়ের সাথে। আমার তো কপাল খুল গেল।,1,crime
3677,মিন্নি সহো ঐ সব জানোয়ারদের ফাঁসি চাই,1,crime
9599,পাশি চাই হারামযাদার,1,"Meme, TikTok and others"
3091,বলের ভিডিও,1,entertainment
675,পাপুইন্যা মাদার চুদ মুলে টিমটা শেষ😥,1,sports
8676,খানকির পোলার ফাসি চাই,1,"Meme, TikTok and others"
4884,এই সালা লুচ্চা,1,crime
8079,কেউ থাকলে প্যাদানি দে জোরে,1,celebrity
1962,দাড়ি ওলা মাদার কে চোদ,1,entertainment
1840,তার মত বিচারককে লাথি মারে চেয়ারের বাইরে ফেলা দরকার বাইনচোদ,1,entertainment
7168,বোকাচোদা বাঙাল আমি নিজে দেখেছি আমার পরিচিত একজন বাংলাদেশী উনাদের বন্ধু কে একটি ঘড়ি উপহার দিয়েছেন লাখ টাকা দিয়ে। তুই খানকির মাগির পোলা পাছা চুলকানি কেন,1,politics
9898,কুত্তার বাচ্চা ভিডিও না করে ওকে আগে পিটাতি আগে,1,"Meme, TikTok and others"
3538,পুলিশের আস্কারা পেয়ে শালারা আরও বেশি লাই পাইছে আগে ধইরা পুলিশ নামে কিছু সন্রাস আছে ওদেরকে শায়েস্তা করা উচিত,1,crime
8026,"আপনি চাটুকার। আপনি দলকানা। আপনি সুবিধাবাদী। আপনি গর্তবাসী। আপনি নকলবাজ। আর সর্বশেষ,পুরুষ হয়েও নারীর মত গর্ভবতী (যেহেতু আপনি বমি বমি ভাবে আক্রান্ত) 😃",1,celebrity
4866,এলাকার মানুষগুলো পিসাচের আত্মা পিসাচগুলো তাকিয়ে তাকিয়ে দেখল হায়রে মানুষ।,1,crime
4174,যারা সময় মত বয়াসে দাড়ি না লাকে কেটে এবং সেফ করে তাদের মোখ দেকতে মহিলার ভুদার মত লাগে মহিলাদের ভুদার বাল কারলে যেমন লাগে তেমনি ডিসির মোখটা সেরকম রাকছে,1,crime
8088,ওরে পাঁডার পো বলদ...এসব এখন আর প্রজন্ম খায় নাহ।,1,celebrity
4377,হেতে পদদ পিয়ন মাইয়া ইগ্গোর লাই কিল্লাই জিন্দেগী গরিলি বেক্কিন কলিকাতা হারবাল অর দোষ।,1,crime
6211,দেওয়ান বাগীর পুটকী দিয়ে গরম ডিম দেওয়া দরকার,1,religion
4766,মুন্নির মতো মেয়ে সোনা দিয়ে গরম ডিম দেওয়া দরকার,1,crime
411,সব কিছু পাপন মাদারচুদ এর চাল,1,sports
613,কুত্তার বাচ্ছা পাপন তরে সামনে পাইলে জানে মেরে ফেলতাম,1,sports
6126,মাননীয় পাবলিক আমি এই চার নাস্তিককে মাঝ নদীতে নিয়ে পোন্দাতে চাই!!!,1,religion
5210,কানকির মাগি বড়ো ক্রিমিনাল,1,crime
1430,আমার মনে হয় সাকিব আল হাসান ঘুষ না নেওয়ায় পাপনের অনেক বড় লস হয়েছে🙄 তাই পাপন এই কাজ করেছে 😊😊😊 শালা ঘুষখোর পাপন 🤪🤪,1,sports
2425,যতসব ছাগলকে বিচারক বানাইছে,1,entertainment
8841,এই কুলাংার ছেলেকে বাড়ি ছাড়া করা উচিৎ ওই কুলাংেরের কি কোন সান্তান আছে ওর কপালে জেনো এটাই হবে,1,"Meme, TikTok and others"
3833,কুত্তালীগ এর জানোয়ার দের কাছ থেকে এর চেয়ে বেশী আর কি আশা করা যায়,1,crime
4718,বোকা চোদা কয় কি,1,crime
7185,বিএনপি হচ্চে জংগি পাকিস্তানি প্রোডাক্সসন,1,politics
1417,আপনি একদম সঠিক কথা বলেছেন ভাই। পাপন শুয়রের বাচ্চাকে পাইলে জুতাপিটা করতাম। শালা হারামির বাচ্চা জুয়াখোর।তারে বহিস্কার করা প্রয়োজন।,1,sports
7199,কাদিরের মা কে চুদি। এ সব টাকা গুলো জনগনের টাকা। মানুষের টাকা চুরি করে এসকরছে।।,1,politics
604,মানু‌ষের মু‌খে আঘাত করা হারাম। হালারা তিনটাই বল‌দের বাচ্চা,1,sports
1272,বঙ্গবন্ধুর নামে ক্যান খেলা হবে হালায়পারলে তোর নামে কর,1,sports
3964,হায় রে মায়ের জাত বুকে মারিস লাথ মুখে তুলে ভাত ডাইনিতে আর তোর মাঝে আছে কি তফাত। এ জাতি বড় খাটি কখনো পাক কখনো নাপাক পতিতালয়ের মাটি,1,crime
6367,হুজুর সত্যি কথা বলেছেন ঐ সালা গাজাখুর,1,religion
8746,তোমার সাইজ কত সৌদি প্রবাসি,1,"Meme, TikTok and others"
247,এই খানকির পোণারা তোদের কি রে গালি ছিছে তাতে তোদের সমস্যা কি,1,sports
9226,শালা মোদি মালু ভারতের মুসলমানদের মেরে ফেলছেশালা বলছে তার অভ্যন্তরীণ বিষয় শালার সমালোচনা করবেনা শালাকে চুমে দিবে শালাকে ধংস করে দাও,1,"Meme, TikTok and others"
1982,অনন্ত অভিনয়ের বাল ও পারেনা,1,entertainment
2835,সলারগরের সালারা,1,entertainment
5375,কুত্তার বাচ্চা ভন্ড।,1,religion
199,সব গুলো জারজ আর পতিতা এর জনম,1,sports
485,এই মাগির বাচচা,1,sports
6083,চেনাল ওয়ালা ভাইকে বলছি ! আপনার মত অনেক বড় বন্ড কুত্তা হাফিজুর এর বয়ান শুনে আজ পাচ ওয়াক্ত নামাজি। আপনি বড় ভন্ড।,1,religion
8956,শালার বউ ভালা না,1,"Meme, TikTok and others"
455,বাংলাদেশের খেলোয়াড়দের দফা দাবি পূরণ করতে হবে আর তা করতে না পারলে বিসিবি সভাপতি নাজমুল হাসান পাপন মাদারিচ্চুদকে পদত্যাগ করতে হবে,1,sports
9798,জানোয়ারকে ফাসি দেওয়া উচিত,1,"Meme, TikTok and others"
8826,কু্ত্তার বাচ্চা বালের ভিডিও নি দেস,1,"Meme, TikTok and others"
6515,তাহেরি কুত্তার বাচ্চা কি জুতা দিয়ে পিটা নো দরকার,1,religion
1721,কুথায় থেকে এ পাগল ছাগল দরে আনে ছেনাল বুজলাম না।।,1,entertainment
7050,ঐ সময় মাদার চুদ পুলিশ কোই ছিলো,1,politics
6382,কুত্তার বাচ্চা নাস্তিক,1,religion
8165,মাগির পুত ভাট্টিচোদা,1,celebrity
5767,এ শুয়োররের বাচ্চা মাদারচোদ হারামি তোকেজ্দি আমি সামনে পাতাম তাহলে তোর হাত কেটে ফেলে দিতাম আর তোর মুকে এক কুতিজুতে মারলাম মাদারচোদ হারামি কুকুর শুয়োর জানোয়ার 👠👡👢👟👞👞👟👠👡👢👞👟👠👡👢👞👟👠 👡👢👞👟👠👡👢👞👟👠👡👢খাজুতা মাদার চোদ,1,religion
5809,মাশাল্লাহ তাহেরির মারে চুইদ্দা বসেন,1,religion
4626,তুরার এডার ভিডিও নে নতুন মাদারিচুদ চ্যানেল এর টি আর পি বারাবেরলেই আর কিছু নো পর,1,crime
862,ভাইরে পাপনকে কিজে বলবএমন কতা বল্লে যেন আমার মনের হাহাকার দুর হয় শালার বাচ্ছা পাপনের কারনে ক্রিকেট এখন নষ্ট হয়ে জাবে তাই বলতেছি আমাদের যদি কোনু কিছু যায়,1,sports
2094,বিচারক দুইটাকে জুতা দিয়া পিডাইলে জুতার অপমান হবে। আর একটি খানকি মাগি আছে কাষ্টমার বারানোর জন্য দেখায়।,1,entertainment
947,জানোয়ারের মতো কাজ,1,sports
5641,হালারে পাইলে গোয়ায় বাশ দিতাম,1,religion
1444,তুমি চুদা দিছ মজা পাইছ আর কি,1,sports
1280,আপনাদের মতো বোকা চোদাদদের জন্যই খেলোয়ার গুলো নষ্ট হচ্ছে।।।বার বার সমালচনা করে তাদের বারোটা বাজিয়ে দিয়েছে।।।। সে কি করবে না করবে সে তে আপনার কাছ থেকে শিখবে না।।।।মানুষ টাকা আয় করে নিজের খরচের জন্য।।।,1,sports
3110,সব শালা মাদারচোদের বাচ্চা টা বিচারক মাদারচোদ রে ভুলে গেছে ওরা একসময় নতুন ছিল এপিসোড দেখে মুখ খারাপ না করে পারলাম না সরি গাইস,1,entertainment
8952,তুই তর মারে চুদ খানকির পোলা,1,"Meme, TikTok and others"
7609,ওবায়দুল চোর,1,politics
5135,হ্যেকার গ্রুপ কি ওর মায়্রপ চুদতে চাইসিলো,1,crime
3016,সানাই তুই তো সালা পতিতা,1,entertainment
2302,তুই রাস্তার মাগী,1,entertainment
2004,বাংলাদেশি বালকামা এই জজদের জন্য আজকে আমাদের বাংলার হিরো সাইমন ছাড়া আর কেউ নেই এই শালা কুত্তার বাচ্চাদের জুতাপেটা করা হোক কে কে আমার সাথে আছেন হাত তুলুন 🖐️,1,entertainment
4580,বাইনচোদ্দের চইদ্দ গুষ্টিরে আগামী দুইশ বছরের জন্য কয়লার খনিতে কাজে লাগা। আসামি সবগুলারে জন সম্মুখে ফাঁসি দে। তাইলে আর যে কুত্তা আছে ঐ গুলা শিক্ষা নিব।,1,crime
8704,ওই মাগীহেড লাইনের সাথে তোর কথার মিল নাইএর জন্য তোরে প্রথমে পুরা ল্যাংটা কইরা তারপর তোর দুই ঠ্যাং ফাক কইরা ইন্চি দোন পুরা ঢুকাইয়া চুদতে চুদতে তোর ভোদা ফাটাইয়া দেয়া উচিততুই একটা খানকির বাচ্চাএর জন্য উল্টা পাল্টা নিউজ করিস মাগী কোথাকার,1,"Meme, TikTok and others"
1005,উনি তো বলতেছে যে গালি দেইনাই তার পরেও জানোয়ারের বাচ্চারা লোকটাকে ছাড়ে না,1,sports
5138,নুনু চুশছেন যে তখন তো ভালো লাগছে,1,crime
4317,ডি সি ফিট লিষ্টে না থেকেও সে ডিসি মন্ত্রনালয় থেকে যে বেজম্মা কুকুর গুলো এই খবর দিয়েছে তারা খোদ হায়েনা হাসিনা কে জিজ্ঞেস করলেই তো এই উত্তর পেয়ে যায় হায়েনা প্রধানমন্ত্রীর ফিট লিষ্টে না থেকে ও দু দুবার পোন্দানমন্তী কিভাবে হয়েছে এই প্রশ্নের উত্তর মন্ত্রনালয় গুলো আত্ন জিজ্ঞাসা করলে ও পেয়ে যায় !!!,1,crime
6558,মানুষের মাথায় বুদ্ধি থাকে আর ঐ দেওয়ানবাগীর পেটে বুদ্ধি থাকে👿👿👿👿শয়তান শালা,1,religion
4387,সালারা বোকা চোদা। মিন্নিরে কপাইল না কেন।,1,crime
2132,আললাহ ওর দুধ দুইটার ওপর ঠাঠা ফেলাও যাতে ও হিজলা হয়ে যায় আর জানি দুধ নাচানাচি না করা পারে,1,entertainment
4265,হালার পুত দরা খাইছে সেটার বিচার না করে কে ভিডিও করছে তারে খোঁজে বের করার চেষ্টা করছে,1,crime
2057,বিচারক না মাদারচুদ,1,entertainment
