	text_id	text	task_1	task_2	task_3	clean_text
1212	hasoc_hi_2981	Part 3 देसी Lola Bhabhi भाभी की चुदाई 18 years 5 	HOF	PRFN	UNT	part 3 देसी lola bhabhi भाभी चुदाई 18 years 5
2006	hasoc_hi_7229	बड़े बड़े बकचोद, बकलोल, बड़बोले, फेंकू और झूठे देखे, पर ऐसा वो भी ओवैसी प्रेमी कटवा और सूअर नहीं देखा जिसने ट्रम्प की बेटी को भी नहीं बख्शा...  	HOF	PRFN	UNT	बड़े बड़े बकचोद बकलोल बड़बोले फेंकू झूठे देखे ऐसा वो ओवैसी प्रेमी कटवा सूअर देखा जिसने ट्रम्प बेटी बख्शा
1831	hasoc_hi_898	Ha 2024 ki tayari karlo... Election aayenge jayenge, zindagi se bad k kuch nai.	NOT	NONE	NONE	ha 2024 ki tayari karlo election aayenge jayenge zindagi se bad k kuch nai
122	hasoc_hi_6101	अख़बार पढ़ने की ऐसी लगन..!!!! एक आटो चालक.. जैसे ही सिग्नल लाल हुई अख़बार निकाला.. अग़ल बग़ल की उपस्थिति से बेख़बर.. देश क्यू नही जागेगा !!!! @BJP4Delhi	NOT	NONE	NONE	अख़बार पढ़ने ऐसी लगन आटो चालक सिग्नल लाल अख़बार निकाला अग़ल बग़ल उपस्थिति बेख़बर देश क्यू नही जागेगा
393	hasoc_hi_1864	हिंदू बुरा है ना अब   मुस्लमान बुरा है   जो संविधान कुचलकर   भीड़ का हिस्सा बने वो इंसान बुरा है,,,	NOT	NONE	NONE	हिंदू बुरा अब मुस्लमान बुरा संविधान कुचलकर भीड़ हिस्सा बने वो इंसान बुरा
340	hasoc_hi_4597	जिन लोगों को जय श्री राम पर एतराज नहीं है उनको अल्लाह हू अकबर पर भी एतराज नहीं होना चाहिए  @syedasimwaqar ने दिया जवाब   देखिए #Dangal @aajtak पर.    @chitraaum   @asadowaisi	NOT	NONE	NONE	लोगों जय श्री राम एतराज अल्लाह हू अकबर एतराज चाहिए जवाब देखिए #dangal
4297	hasoc_hi_6587	कितने घटिया हो कांग्रेसियों तुम!  अपने देश के निर्वाचित प्रधानमंत्री की तुलना तुम कुत्ते से भी करने लगे।  ऐसी नफरत!  ..फिर तुमसे नफरत करने वाला व्यक्ति नेहरू, इंदिरा, राजीव में #कुत्ते की छवि क्यों न देखे?  इन कुसंस्कारों से कब बाहर आओगे तुम?	HOF	PRFN	TIN	कितने घटिया कांग्रेसियों तुम देश निर्वाचित प्रधानमंत्री तुलना तुम कुत्ते लगे। ऐसी नफरत तुमसे नफरत वाला व्यक्ति नेहरू इंदिरा राजीव #कुत्ते छवि क्यों देखे कुसंस्कारों कब बाहर आओगे तुम
3765	hasoc_hi_1887	#चोर,#नीच चौकीदार अपनी हद में रह, और अपने #दलाल चौकीदार  की गुलामी कर।	NOT	NONE	NONE	#चोर#नीच चौकीदार हद रह #दलाल चौकीदार गुलामी कर।
148	hasoc_hi_1844	अगर 370 और 35A हटी तो कश्मीरी मुसलमान कहां रहेंगे- उमर अब्दुल्ला ।    मैं बताता हूँ भोसड़ीके वो सब फिर अपनी औकात में रहेंगे ।।  	HOF	PRFN	TIN	अगर 370 35a हटी कश्मीरी मुसलमान कहां रहेंगे उमर अब्दुल्ला । मैं बताता हूँ भोसड़ीके वो सब औकात रहेंगे ।।
1510	hasoc_hi_5593	आप सभी को गंगा दशहरा की हार्दिक शुभकामनाएँ।	NOT	NONE	NONE	गंगा दशहरा हार्दिक शुभकामनाएँ।
96	hasoc_hi_1163	'आदमी तो आदमी, मैं तो पानी के बारे में भी सोचता था'...लिखने वाले कवि आलोकधन्वा के जन्मदिन पर साहित्य आजतक की बधाई	NOT	NONE	NONE	आदमी आदमी मैं पानी बारे सोचता थालिखने कवि आलोकधन्वा जन्मदिन साहित्य आजतक बधाई
301	hasoc_hi_6343	Ab ek kaam karo yadav ji jeevan se sanyas lekar Pahado par chale jao	NOT	NONE	NONE	ab ek kaam karo yadav ji jeevan se sanyas lekar pahado par chale jao
3818	hasoc_hi_7715	यह है मुसलमान का असली ईमान जिसे हमें दुनिया से बचाकर आखिरत के लिए रखना है    बाबा जी से पूछा गया कि आप ने वजन के नीचे पेपर क्यूँ रखा तो फरमाया मैं सिर्फ चाय की पत्ती बेच रहा हूँ कागज नहीं। इतनी बारीकी से ईमान की हिफाजत करते हैं।  अल्लाह हर मुसलमान के ईमान की हिफाजत फरमाए ~ आमीन	NOT	NONE	NONE	मुसलमान असली ईमान हमें दुनिया बचाकर आखिरत रखना बाबा जी पूछा वजन पेपर क्यूँ रखा फरमाया मैं सिर्फ चाय पत्ती बेच हूँ कागज नहीं। इतनी बारीकी ईमान हिफाजत हैं। अल्लाह हर मुसलमान ईमान हिफाजत फरमाए ~ आमीन
2255	hasoc_hi_4694	योग करने से पुलवामा का सच भुलाया नही जा सकता न ही इवीएम के पाप धुल सकते हैं न ही किसानों की आत्महत्या छुप सकती है,,,	HOF	OFFN	TIN	योग पुलवामा सच भुलाया नही इवीएम पाप धुल किसानों आत्महत्या छुप सकती
2310	hasoc_hi_5863	#PragyaSinghThakur ने देश के पहले आतंकवादी को #देशभक्त कहा, भाजपा ने किया साफ इनकार, अब #नीच अपने “बाप” का नाम भी खुलकर नहीं ले सकते!  	HOF	OFFN	TIN	#pragyasinghthakur देश आतंकवादी #देशभक्त भाजपा साफ इनकार अब #नीच “बाप” नाम खुलकर ले
3470	hasoc_hi_4853	सूअर को अपने परिवार के साथ पालो 	HOF	OFFN	UNT	सूअर परिवार पालो
408	hasoc_hi_2763	हिरोइन्स की नकल करना बुरी बात नहीं, लेकिन नकल करनी है बालीवुड की हिरोइन्स की नहीं हालीवुड की हिरोइन्स की करो,,   कोई नहीं आने वाला तुम्हारे सम्मान को बचाने वाला,, इसलिए  फैशन हिरोइन नहीं, एक्शन हिरोइन बनो   #गीत  #हिंदी_शब्द #शब्दनिधि	NOT	NONE	NONE	हिरोइन्स नकल बुरी बात नकल करनी बालीवुड हिरोइन्स हालीवुड हिरोइन्स करो आने वाला तुम्हारे सम्मान बचाने वाला इसलिए फैशन हिरोइन एक्शन हिरोइन बनो #गीत #हिंदीशब्द #शब्दनिधि
4218	hasoc_hi_3822	338 रन का पीछा   पहले 10 ओवर में 27 रन 1 विकेट   50 वें ओवर में पहला छक्का   पर दोषी धोनी को ,  हद होती है भैनचोद     मतलब कुछ भी कह दोगे ।  #INDvENG	HOF	PRFN	TIN	338 रन पीछा 10 ओवर 27 रन 1 विकेट 50 वें ओवर पहला छक्का दोषी धोनी हद भैनचोद मतलब कह दोगे । #indveng
2079	hasoc_hi_5046	Ram Naik hi hain U.P. k governor???Muh me dahi jma K baithe hain kya...	HOF	OFFN	TIN	ram naik hi hain up k governormuh me dahi jma k baithe hain kya
711	hasoc_hi_7534	मुश्किल में फंसे अनिल अंबानी को महाराष्ट्र सरकार ने दी राहत    कंपनी को मिला 7000 करोड़ रु का ऑर्डर  और BSNL-ONGC -JET को फूटी कौड़ी  #NewIndia	NOT	NONE	NONE	मुश्किल फंसे अनिल अंबानी महाराष्ट्र सरकार दी राहत कंपनी मिला 7000 करोड़ रु ऑर्डर bsnlongc jet फूटी कौड़ी #newindia
4317	hasoc_hi_44	इस जैसे लोगो से दिमाग मारने से बेहतर है पत्थर में सर मार लो!  अक्ल नाम की कोई चीज होती नहीं है फालतू में चले आते है अंधभक्त कही के और हां बेटा तेरे को कोई बुला भी नहीं रहा sc/st में तुम लोगो के खुद खुजली है दुसरो का हक खाने की अगर इतना ही बड़ा बन रहा है तो तू चला जा किसी और धर्म	HOF	PRFN	TIN	लोगो दिमाग मारने बेहतर पत्थर सर मार लो अक्ल नाम चीज फालतू चले आते अंधभक्त कही हां बेटा तेरे बुला sc/st तुम लोगो खुद खुजली दुसरो हक खाने अगर इतना बड़ा बन तू चला धर्म
639	hasoc_hi_1621	8june 7 pm noida, जल वाले बाबा के सान्निध्य में श्री गौरव कृष्ण जी महाराज की भागवत कथा में नोएडा में भाग लिया.. @BJP4Delhi	NOT	NONE	NONE	8june 7 pm noida जल बाबा सान्निध्य श्री गौरव कृष्ण जी महाराज भागवत कथा नोएडा भाग लिया
3069	hasoc_hi_6573	 Angrezi Peeta Hu  milti Hai time pr	NOT	NONE	NONE	angrezi peeta hu milti hai time pr
2543	hasoc_hi_2467	bhut sahi ye Mahamahim ji bhi chuppi sadhe h sirf SP ki sarkaar me khulta tha..dhanya ho Mahamahim ji aapne to pad ki bhi garima gira di..	NOT	NONE	NONE	bhut sahi ye mahamahim ji bhi chuppi sadhe h sirf sp ki sarkaar me khulta thadhanya ho mahamahim ji aapne to pad ki bhi garima gira di
931	hasoc_hi_1327	#CWC19 #INDvBAN बांग्लादेश को धूल चटाकर सेमीफाइनल में पहुंचेगा भारत.  @BCCI @BCBtigers   https://www.wahcricket.com/news/world-cup-2019-match-preview-of-india-and-bangladesh-match-from-birmingham-138795 …	NOT	NONE	NONE	#cwc19 #indvban बांग्लादेश धूल चटाकर सेमीफाइनल पहुंचेगा भारत https//wwwwahcricketcom/news/worldcup2019matchpreviewofindiaandbangladeshmatchfrombirmingham138795 …
3135	hasoc_hi_5601	लहू दौड़ता है जिस्म में टीपू वाला  हमारी रगों में #गोडसे की तासीर नहीं   -  हमें #पाक भेजने वालों सुनो,   ये देश तुम्हारे बाप की जागीर नहीं है    #I__Love__My__India	HOF	HATE	TIN	लहू दौड़ता जिस्म टीपू वाला हमारी रगों #गोडसे तासीर हमें #पाक भेजने वालों सुनो देश तुम्हारे बाप जागीर #ilovemyindia
1441	hasoc_hi_6241	पुलिस पर सचिवालय कर्मचारी मनोज कुमार प्रजापति के साथ मारपीट का आरोप है	NOT	NONE	NONE	पुलिस सचिवालय कर्मचारी मनोज कुमार प्रजापति मारपीट आरोप
1858	hasoc_hi_412	कार्तिक आर्यन और सारा अली खान ने हाल ही में अपनी फिल्म 'लव आजकल 2' की शूटिंग की खत्म। लेकिन शूटिंग के आखिरी दिन कार्तिक हुए इमोशनल।  (@naaz_fauzia)  #Vertical #InstaMasala	NOT	NONE	NONE	कार्तिक आर्यन अली खान हाल फिल्म लव आजकल 2 शूटिंग खत्म। शूटिंग आखिरी दिन कार्तिक इमोशनल। #vertical #instamasala
3541	hasoc_hi_1714	तुम जैसे सन्त हिन्दू समाज पर कलंक हैं कलंक समझा!!!  जो भजन और शायरी की बकचोदी के सिवा कुछ नही करते, हरामी हिंदुओं के मंदिर टूटते हैं,और तू शायरी पेल रहा है... तुझ जैसे हिजड़ों की जरूरत नही हमे समझा,डूब मर हरामी 	HOF	OFFN	TIN	तुम सन्त हिन्दू समाज कलंक कलंक समझा भजन शायरी बकचोदी सिवा नही हरामी हिंदुओं मंदिर टूटते हैंऔर तू शायरी पेल तुझ हिजड़ों जरूरत नही हमे समझाडूब मर हरामी
2442	hasoc_hi_5496	मणिशंकर अय्यर जी को सर्वश्रेष्ठ ज्योतिषी घोषित कर देना चाहिए.... जिसके बारे में जो कहा बन्दा वही निकला।  #नीच	NOT	NONE	NONE	मणिशंकर अय्यर जी सर्वश्रेष्ठ ज्योतिषी घोषित देना चाहिए जिसके बारे बन्दा वही निकला। #नीच
4064	hasoc_hi_7326	बहुत बढ़िया आपके संघर्ष को सलाम अखिलेश भैय्या अगर आपका ये संघर्ष यूं ही जारी रहा तो अगली बार पांच सीटें भी नही आएंगी। और हां लोहिया का वह नारा कुछ इस तरह याद कीजिए कि जिंदा कौमें सिर्फ AC कमरे मे बैठकर विश्राम करती हैं, ट्वीटर पर निंदा करतीं हैं, और फेसबुक पर भाषण करती हैं।	HOF	OFFN	UNT	बढ़िया आपके संघर्ष सलाम अखिलेश भैय्या अगर आपका संघर्ष यूं जारी अगली बार पांच सीटें नही आएंगी। हां लोहिया नारा याद कीजिए जिंदा कौमें सिर्फ ac कमरे बैठकर विश्राम करती ट्वीटर निंदा करतीं फेसबुक भाषण करती हैं।
1117	hasoc_hi_2507	#CWC19 गौतम गंभीर बोले, 'कार्तिक और पंत ने की होती धोनी जैसी बल्लेबाज़ी तो टीम से बाहर होते'  @GautamGambhir @DineshKarthik @RishabPant777 @msdhoni https://www.wahcricket.com/news/wc-2019-gautam-gambhir-says-if-pant-and-karthik-batted-like-ms-dhoni-he-can-not-play-next-match-138810 …	HOF	HATE	TIN	#cwc19 गौतम गंभीर बोले कार्तिक पंत धोनी जैसी बल्लेबाज़ी टीम बाहर https//wwwwahcricketcom/news/wc2019gautamgambhirsaysifpantandkarthikbattedlikemsdhonihecannotplaynextmatch138810 …
1077	hasoc_hi_1336	इसमे भोसडीके गौ रक्षक कहा से आ गए	HOF	PRFN	UNT	इसमे भोसडीके गौ रक्षक आ गए
142	hasoc_hi_1702	B like my father who never forced anything for he knew I was worth nothing, he gave me my liberty to decide my life saying those golden 4 words     'कुछ तो करलेना भोसडीके'	HOF	PRFN	TIN	b like my father who never forced anything for he knew i was worth nothing he gave me my liberty to decide my life saying those golden 4 words करलेना भोसडीके
106	hasoc_hi_6658	Pradesh ke CM Ji khn hain. Pta nhi..Bas dua karein. Sab Kuch theek rhe	NOT	NONE	NONE	pradesh ke cm ji khn hain pta nhibas dua karein sab kuch theek rhe
4244	hasoc_hi_3931	छोटे लिंग से लड़की की चुदाई कैसे करे	HOF	PRFN	TIN	छोटे लिंग लड़की चुदाई कैसे करे
4322	hasoc_hi_5322	भगवा रंग की ड्रेस पहन कर टीम इंडिया हार गई ,  काश जय श्री राम के नारे भी मैदान में लगाये होते तो जीत पक्की थी,,,	NOT	NONE	NONE	भगवा रंग ड्रेस पहन टीम इंडिया हार गई काश जय श्री राम नारे मैदान लगाये जीत पक्की
2638	hasoc_hi_5077	#बेगूसराय से #कन्हैया_कुमार को इतने वोट तो मिलने ही चाहिए थे जितने #शेहला_राशिद के बैग से Condom मिले थे....    	HOF	OFFN	TIN	#बेगूसराय #कन्हैयाकुमार इतने वोट मिलने चाहिए जितने #शेहलाराशिद बैग condom मिले
2780	hasoc_hi_1689	पहले उस हरामी के पिल्लों को पकड़िए फिर कोई ट्वीट कीजियेगा।  इतनी हिम्मत बढ़ गया है कि मुस्लिमों के एक भीड़ ने चाँदनी चौक के लाल कुंआ इलाके में एक मंदिर को तहस नहस कर के हिंदुओं के भावनाओं को अग्नि के समान प्रज्वलित कर दिया।	HOF	PRFN	UNT	हरामी पिल्लों पकड़िए ट्वीट कीजियेगा। इतनी हिम्मत बढ़ मुस्लिमों भीड़ चाँदनी चौक लाल कुंआ इलाके मंदिर तहस नहस हिंदुओं भावनाओं अग्नि समान प्रज्वलित दिया।
2878	hasoc_hi_4645	दोस्तो वो जो कचहरी में बार काउंसिल की अध्यक्ष दरवेश की हत्या हुई है वो यादव था क्या???    तो फिर छोड़ो ना यादव हिन्दू में थोड़ी न आते है जो मीडिया इसको दिखाएगी और न ही ये केस बंगाल का है?    फिर जनता-सरकार और गोदी मीडिया सब आराम से मुंह मे टेप मार के बैठो रहो।	HOF	OFFN	TIN	दोस्तो वो कचहरी बार काउंसिल अध्यक्ष दरवेश हत्या वो यादव क्या छोड़ो यादव हिन्दू थोड़ी आते मीडिया इसको दिखाएगी केस बंगाल जनतासरकार गोदी मीडिया सब आराम मुंह टेप मार बैठो रहो।
3364	hasoc_hi_4586	जिस देश में मंहगाई बेरोजगारी को खतरे में बताकर वोट हासिल न हो वहां हिंदु को खतरे मे बताकर सरकारें बना ली जाती हैं,,,	HOF	HATE	UNT	देश मंहगाई बेरोजगारी खतरे बताकर वोट हासिल हिंदु खतरे बताकर सरकारें बना ली जाती
742	hasoc_hi_29	मणि शंकर अय्यर सही कहते हैं   #तेजबहादुर #नीच   #चुनाव	NOT	NONE	NONE	मणि शंकर अय्यर सही #तेजबहादुर #नीच #चुनाव
4458	hasoc_hi_6993	मुस्लमान हर साल बकरा ईद में जानवर की क़ुरबानी करता हैं और हज करने वाला भी और हिन्दू धर्म में लछमन हिरन का शिकार करने गए थे वो भी मासाहारी थे दोनों धर्मों के अनुसार मास खाना धार्मिक पुस्तक में लिखा है	HOF	HATE	UNT	मुस्लमान हर साल बकरा ईद जानवर क़ुरबानी हज वाला हिन्दू धर्म लछमन हिरन शिकार गए वो मासाहारी दोनों धर्मों अनुसार मास खाना धार्मिक पुस्तक लिखा
3663	hasoc_hi_2789	'भड़वा' जर्सी आ गयी है रविवार को तुम्हे पहनाकर मैदान में उतारा जाएगा कोई जले तो जले	HOF	OFFN	UNT	भड़वा जर्सी आ गयी रविवार तुम्हे पहनाकर मैदान उतारा जाएगा जले जले
1202	hasoc_hi_5318	किसी हरामी से पूछा गया,    हस्तमैथुन क्या है ,    उसने कहा ,    अपने ही लंड को चूतिया बनाना .....!	HOF	PRFN	UNT	हरामी पूछा हस्तमैथुन क्या उसने लंड चूतिया बनाना
1450	hasoc_hi_2831	सूअर की तरह बच्चे पैदा कर लेते हैं उनके लिए खाने को भी इंतजाम करना पड़ता है सिंगार के लिए सामान कहां से लेकर आएंगे म****** खेती समझते हैं ना औरत को	HOF	PRFN	TIN	सूअर बच्चे पैदा लेते खाने इंतजाम पड़ता सिंगार सामान कहां लेकर आएंगे म खेती समझते औरत
423	hasoc_hi_435	प्रेम में है परमात्मा का वास:- @AcharyaPramodk     निर्वाण मासिक आध्यात्मिक पत्रिका (पृष्ठ 3,4)	NOT	NONE	NONE	प्रेम परमात्मा वास निर्वाण मासिक आध्यात्मिक पत्रिका पृष्ठ 34
4196	hasoc_hi_5255	तू सही से पढ़ लिया कर रंडि साली	HOF	PRFN	TIN	तू सही पढ़ लिया रंडि साली
3617	hasoc_hi_4534	सीमा ने मेरा लुंड चूस ली http://xv.musz.info/%e0%a4%b8%e0%a5%80%e0%a4%ae%e0%a4%be-%e0%a4%a8%e0%a5%87-%e0%a4%ae%e0%a5%87%e0%a4%b0%e0%a4%be-%e0%a4%b2%e0%a5%81%e0%a4%82%e0%a4%a1-%e0%a4%9a%e0%a5%82%e0%a4%b8-%e0%a4%b2%e0%a5%80/ …	HOF	PRFN	TIN	सीमा मेरा लुंड चूस ली http//xvmuszinfo/e0a4b8e0a580e0a4aee0a4bee0a4a8e0a587e0a4aee0a587e0a4b0e0a4bee0a4b2e0a581e0a482e0a4a1e0a49ae0a582e0a4b8e0a4b2e0a580/ …
133	hasoc_hi_2372	माननीय डॉक्टर @drharshvardhan जी को केंद्रीय स्वास्थ्य मंत्री बनने पर हार्दिक शुभकामनाएं।	NOT	NONE	NONE	माननीय डॉक्टर जी केंद्रीय स्वास्थ्य मंत्री बनने हार्दिक शुभकामनाएं।
1381	hasoc_hi_5753	आरफ़ा खानम के आँखों पर   चढ़ी धर्मान्धता को उतारते आरिफ मोहम्मद (2/2)    @khanumarfa #TripleTalaq #TeenTalaq     @amitmalviya @SureshNakhua @nanditathhakur @iPuneetSharma @VijayGoelBJP @snikhil_social	NOT	NONE	NONE	आरफ़ा खानम आँखों चढ़ी धर्मान्धता उतारते आरिफ मोहम्मद 2/2 #tripletalaq #teentalaq
953	hasoc_hi_1848	पति पत्नी बॉयफ्रेंड गर्लफ़्रेंड   बस एक  इससे ज्यादा  रंडी छिनाल लफंगा छिनरा	HOF	PRFN	TIN	पति पत्नी बॉयफ्रेंड गर्लफ़्रेंड बस इससे ज्यादा रंडी छिनाल लफंगा छिनरा
4613	hasoc_hi_4644	अटैक मंदिर पर हुआ इसीलिए शांत है, मस्जिद पर हुआ होता तो घाघरा उठाकर नाचता भड़वा जिहादी घुंघरू सेठ @ArvindKejriwal	HOF	OFFN	TIN	अटैक मंदिर इसीलिए शांत मस्जिद घाघरा उठाकर नाचता भड़वा जिहादी घुंघरू सेठ
50	hasoc_hi_1777	न केवल हाफिज़ को  उनकी पूरी पार्टी के उम्मीदवारों को #पाकिस्तान की जनता ने चुनाव में नकार दिया था।     हमने #प्रज्ञा_ठाकुर को जीत दिला दी।    @KRaval20  @ParulDRayka4  @abhayjotava @abhisar_sharma @LambaAlka	NOT	NONE	NONE	केवल हाफिज़ पूरी पार्टी उम्मीदवारों #पाकिस्तान जनता चुनाव नकार था। हमने #प्रज्ञाठाकुर जीत दिला दी।
2449	hasoc_hi_6738	हरियाणा के फरीदाबाद में कांग्रेस कार्यकर्ताओं का प्रदर्शन, पार्टी प्रवक्ता की हत्या का विरोध   #Faridabad #Haryana #Congress	NOT	NONE	NONE	हरियाणा फरीदाबाद कांग्रेस कार्यकर्ताओं प्रदर्शन पार्टी प्रवक्ता हत्या विरोध #faridabad #haryana #congress
1072	hasoc_hi_4580	मुंबई वालों की ज़िन्दगी में 'चिंताओं की बारिश' का विश्लेषण    #DNA रात 9 बजे @sudhirchaudhary के साथ	NOT	NONE	NONE	मुंबई वालों ज़िन्दगी चिंताओं बारिश विश्लेषण #dna रात 9 बजे
3820	hasoc_hi_4823	आपदा प्रबंधन क्षेत्र की चुनौतियों को तभी हल कर सकते हैं जब सारे दल well equipped हों। वहां पर काम करने के लिए सारी सुविधाएं अंतरराष्ट्रीय मानकों से भी ऊपर हों। मेरा आग्रह है कि डीआरडीओ के साथ संकलन करके सारे इक्यूपमेंट स्वदेशी किए जाएं: श्री अमित शाह जी ।	NOT	NONE	NONE	आपदा प्रबंधन क्षेत्र चुनौतियों तभी हल सारे दल well equipped हों। काम सारी सुविधाएं अंतरराष्ट्रीय मानकों ऊपर हों। मेरा आग्रह डीआरडीओ संकलन करके सारे इक्यूपमेंट स्वदेशी किए जाएं श्री अमित शाह जी ।
2584	hasoc_hi_7138	रंडी मीडिया बोल रही कूटनीति थी हार ।  और जीत जाते तो भगवा की जीत होती, मतलब इन्हें देश की हार जीत से फ़र्क़ नही	NOT	NONE	NONE	रंडी मीडिया बोल रही कूटनीति हार । जीत जाते भगवा जीत मतलब देश हार जीत फ़र्क़ नही
4212	hasoc_hi_2486	महाराष्ट्र: 'जय श्री राम' बुलवाने और मुस्लिम कैब चालक की पिटाई के मामले में तीन लोग गिरफ्तार!!    न झारखण्ड दोषी न महाराष्ट्र दोषी; दोषी है आरएसएस का हत्यारा-गुंडा गैंग!! यह सब आरएसएस के भाड़ेकेटट्टू कर रहे!!  #BanRSS   #BanTerroristRSS  #BanEVM	HOF	PRFN	TIN	महाराष्ट्र जय श्री राम बुलवाने मुस्लिम कैब चालक पिटाई मामले तीन लोग गिरफ्तार झारखण्ड दोषी महाराष्ट्र दोषी दोषी आरएसएस हत्यारागुंडा गैंग सब आरएसएस भाड़ेकेटट्टू #banrss #banterroristrss #banevm
1690	hasoc_hi_7478	आपको भी सहस्त्र ढेर सारी बधाइयां और पूर्ण रूप से इस आकांक्षाओं के साथ आप से अनुरोध है कि जिस तरह आजमगढ़ ने आपका मान-सम्मान बढ़ाया है आप अभी इस आजमगढ़ की विकास को ऊंचाइयों तक पहुंचा कर गौरवान्वित करें	NOT	NONE	NONE	आपको सहस्त्र ढेर सारी बधाइयां पूर्ण रूप आकांक्षाओं अनुरोध आजमगढ़ आपका मानसम्मान बढ़ाया आजमगढ़ विकास ऊंचाइयों पहुंचा गौरवान्वित
2649	hasoc_hi_2153	दलालों..... अब कट्टर पंथी धर्म का रंडी रोना नहीं रोओगे...... 	HOF	OFFN	UNT	दलालों अब कट्टर पंथी धर्म रंडी रोना रोओगे
192	hasoc_hi_814	@DelhiPolice @AamAadmiParty  ऐसे लोगो पर तुरंत करवाई हो	NOT	NONE	NONE	लोगो तुरंत करवाई
3007	hasoc_hi_6494	21 मई को होने वाली 22 प्रधानमंत्रि्यो की बैठक टली!अब 23 मई के परिणाम के बाद विचार करेंगे की बैठक 24 को होगी या 2024 में..!	NOT	NONE	NONE	21 मई वाली 22 प्रधानमंत्रि्यो बैठक टलीअब 23 मई परिणाम विचार करेंगे बैठक 24 होगी 2024
867	hasoc_hi_3380	देखिए मुंबई का 'कल'  देखिए '19 की 19 कहानियां 6:30 PM @ZeeNews पर	NOT	NONE	NONE	देखिए मुंबई कल देखिए 19 19 कहानियां 630 pm
609	hasoc_hi_2087	Bhai Sahab scholarship ka btao??? Jo tumhari government me officer kha gye	NOT	NONE	NONE	bhai sahab scholarship ka btao jo tumhari government me officer kha gye
4190	hasoc_hi_6655	साईकिल को #हथिनी ने ऐसा कुचला कि #बबुवा का साईकिल बन गया #धोबी  का #कुत्ता   जो घर का रहा ना घाट का   ईसे कहते है #कुत्ते +#बिल्ली की बेमेल #शादि	HOF	OFFN	UNT	साईकिल #हथिनी ऐसा कुचला #बबुवा साईकिल बन #धोबी #कुत्ता घाट ईसे #कुत्ते #बिल्ली बेमेल #शादि
195	hasoc_hi_7362	हरामजादे सुअर की औलाद, तू और तेरी पूरी कौम घटिया है। अगली बार किसी हिंदू को काफिर बोला तो जहां से आया है वहीं वापस भेज दिए जाओगे।	HOF	PRFN	UNT	हरामजादे सुअर औलाद तू तेरी पूरी कौम घटिया है। अगली बार हिंदू काफिर बोला आया वापस भेज दिए जाओगे।
827	hasoc_hi_6088	ये कौन रंड़ी की औलाद आगई bsdk	HOF	PRFN	UNT	रंड़ी औलाद आगई bsdk
1830	hasoc_hi_2629	दो दिन शाम को वाराणसी में नुक्कड़ सभाएँ किया.. मैने काशी की गलियों में अपने गीतों में जो प्रश्न उठाये थे, उसे @narendramodi जी ने सुलझा दिया है @BJP4Delhi	NOT	NONE	NONE	दिन शाम वाराणसी नुक्कड़ सभाएँ मैने काशी गलियों गीतों प्रश्न उठाये जी सुलझा
2378	hasoc_hi_5506	#HTP क्या संसद में वन्दे मातरम पर ऐतराज धार्मिक कट्टरता है?  @nehapant19 #वन्दे_मातरम   @syedasimwaqar ने जोरदार जवाब दिया.  @asadowaisi   1/2	NOT	NONE	NONE	#htp क्या संसद वन्दे मातरम ऐतराज धार्मिक कट्टरता #वन्देमातरम जोरदार जवाब 1/2
3050	hasoc_hi_1493	विकास के नाम पर वोट लिया और अब ओबीसी से sc बना दिया...।।  विकास की गाड़ी उल्टी दिशा में जा रही है...।।	NOT	NONE	NONE	विकास नाम वोट लिया अब ओबीसी sc बना दिया।। विकास गाड़ी उल्टी दिशा रही है।।
2856	hasoc_hi_7258	मंदिर को हाथ लगाते हो माधरचोदो  गांड सूंघते रहोगे और फट के फैल जाओगे   ठीक से रहो और रहने दो	HOF	PRFN	TIN	मंदिर हाथ लगाते माधरचोदो गांड सूंघते रहोगे फट फैल जाओगे ठीक रहो रहने
4476	hasoc_hi_4240	5 साल से रंडी रोना रो रहा है एक को तो भेज के दिखा पिछवाड़े मे दम है तो। ये बाप का हिन्दुस्तान नही है। जिस दीन हम भगाना शुरू कर देगे तो तू कहीं जाने लायक नही रहेगा	HOF	PRFN	UNT	5 साल रंडी रोना रो भेज दिखा पिछवाड़े दम तो। बाप हिन्दुस्तान नही है। दीन हम भगाना शुरू देगे तू कहीं जाने लायक नही रहेगा
3368	hasoc_hi_6943	Inko to abhi ye pata hi nhi h sayad up me kya ho rha ese vaykti ko turant pad tyag dena chahiye jo itne bade pad pr betgkar bhi kuch nhi kr sakta	HOF	HATE	UNT	inko to abhi ye pata hi nhi h sayad up me kya ho rha ese vaykti ko turant pad tyag dena chahiye jo itne bade pad pr betgkar bhi kuch nhi kr sakta
4435	hasoc_hi_3476	@KhanAzam_SP जायरा वसीम ने कहा 'इस्लाम में अभिनय हराम'है  तो क्या मीनाकुमारी, मधुबाला सायराबानों, शबानाआजमी, सलमान, शाहरुख सब हरामी हैं ? अंडरवियर खान साहब, इसपर आप का क्या रुख है।	HOF	OFFN	TIN	जायरा वसीम इस्लाम अभिनय हरामहै क्या मीनाकुमारी मधुबाला सायराबानों शबानाआजमी सलमान शाहरुख सब हरामी अंडरवियर खान साहब इसपर क्या रुख है।
3398	hasoc_hi_384	विनाशकाले विपरित बुद्धि।।    बेमौत मरेंगे हरामी सब के सब...	HOF	OFFN	UNT	विनाशकाले विपरित बुद्धि।। बेमौत मरेंगे हरामी सब सब
