sentence,hate,category
মুসলার গুদ,1,"Meme, TikTok and others"
এই হারামির বাচ্চা দুই টাকার ক্রিকেটারদের শেখ হাসিনা বেশি আশ্রয় প্রশ্রয় দেওয়ার কারণে আজকে এই অবস্থা হয়েছেদেশের এই টাকা এই সমস্ত ক্লাউন্দের পেছনে খরচ করা উচিত নাএটা একটা অবৈধ প্রধানমন্ত্রী শেখ হাসিনার বাপের একাউন্ট থেকে আসে নাওগুলো জনগণের টাকা।। এত টাকা বেতন দিয়ে এসমস্ত ক্রিকেটার পাওয়ার কোন মানে হয়না।।। টাকা খরচ করে দেশে অনেক ভালো কিছু করার আছে।।।।,1,sports
এই মাদারী দেখি সত্যি সত্যিই মদ খেয়ে হর হর করে দিলো 🔞🎃,1,celebrity
শালা তুই গাজা খাইছচ না কি সাগরের সাথে শতাংশ আর মিয়ানমারের সাথে শতাংশ,1,"Meme, TikTok and others"
একটা আস্ত শুয়োর,1,celebrity
চ্যানেল আই এবং এসব আবাল সুদা বিচারক নিয়োগ কি করে দেয় বুঝি না তার কি মাসুদ রানা প্রতিযোগিতা শুরু করছে । না কি সাধারণ মানুষ কি ইনসাল্ট করছে বুঝি না কাতার থেকে দেখছি অনেক দিন ধরে শুনছি কে হবে মাসুদ রানা ।। কিন্তু দেখি অন্য কিছু । এইসব চ্যালেঞ্জ বিরোধে আইনি ব্যবস্থা গ্রহণ করা উচিত ।।,1,entertainment
রুমিন ফারজানার সাথে হিন্দু ধর্মের গাধার কথায় শুনে আমি কি জে বোলব বাসা খুঁজে পাই না ওপু কুকিল তুইতো রুমিন ফারজানার জুতার শোমান না ছাগলের সাথে থেকে ছাগলের মতো কথা,1,politics
কি বলব আমাদের দেশে সরকার দেশ পরিচালনা করতে ব্যাথ। বালের সরকার।,1,crime
তুমি মরে যাও তুমি এদেশে বাঁচার অধিকার নাই তোমার মতমাগী এদেশে বাঁচার অধিকার নাই এগুলা করার আগে তোমার সন্তানকে কথা মনে ছিল না,1,crime
এই সাসোডিইরে আমিই হোদাই মাগিই কোনাই গার খান কিই আসতারা,1,entertainment
পুরো মাগী একটা,1,entertainment
রুবেল একটা গাঞ্জা খোর দেখতে গাঞ্জুট্টি মত লাগে হালা একটা ফকিন্নির পু,1,sports
লুচ্চার মাজায় জোর নাই এই মাল চালায় কিভাবে মনে হয় আমার দরকার পরতো পারে এই মালের,1,crime
তোদের মতো মাগিদের বাচার দরকার নাই সমাজ নষ্ট করচ তোরা মরি যা কুত্তার বাচ্চা,1,crime
পাপন নাটক ভালোই করতে পারে শুয়রের বাচ্চা,1,sports
মাগির ফুলা,1,religion
লীগ গুলাই হলো আসল জঙ্গি,1,politics
সব শালয়ই ভালা ধরা নাখাইলে,1,crime
তোকে মাগি,1,"Meme, TikTok and others"
মুসফিক কোন চেটের বাল ওরে গালি দিলে কি হবে এই ছেলেদের কারনেই তোরা আজ মুসফিক।,1,sports
মোসাদ্দেক এই কুলাঙ্গার যে দলে খেলবে সে দলে যদি শচীন টেন্ডুলকারও থাকে তবুও সে দল হারবে। শালা ইনজুরিতে পরেনা কেন এই আবাল? না পারে বল না পারে ব্যাটিং।,1,sports
এই সমস্ত কুলাঙ্গারদের কারণেই আজকে মেয়ে জাতি এত অবহেলিত বঞ্চিত বঞ্চিত ধর্ষিত,1,crime
পাপন ছাগলডার পাছায় লাথি মেরে বিসিবি থেকে বের করা হোকক্রিকেটারদের বাশ মারছে গত বছর ধরে,1,sports
ভাই শালা একটা পটকা মাছ মানে টেপা মাছ 🐡🐡🐡,1,religion
আমি বলি কারো দোষ না দোষ এই প্লেয়ার্ মাদারচোদেগো ।মাদারচোদেরা খেলতে পারেনা আরেকজনের দোষ দিয়ে লাভ নাই,1,sports
মাদ্রাসা গিয়েছিস কি কখনো ভন্ড নাস্তিক মদখোর মাজার পূজারি নাস্তিক কোথাকার লাথি মারতে ইচ্ছে করে তোদের মতো নাস্তিকদের। তুই নাকি এলেম রাসূল সল্লাল্লাহু আলাইহি ওয়াসাল্লাম এর চেয়ে বরো বলো ভন্ড নাস্তিক তোদের লেংটা বাবা এই বাবা সেই বাবা।,1,religion
খানকির পােলা গানকই,1,sports
শালা ফালতু,1,sports
এই শালা ভিডিও মেকার অসম্ভব জারুয়া ।।বালের প্রতি ওনার এক অসম্ভব আকর্ষন ।।হা হা হা,1,entertainment
জাজ মাল্টিমিডিয়া ভং ধরেছে তারা পিয়ার্স ব্রসনানের লুক আর ড্যানিয়েল ক্রেইগের এটিটিউড ওয়ালা মাসুদ রানা হাজির করবে। সেই হাজির করা মিশনে মাসুদ রানা খোঁজার দায়িত্ব দিয়েছে একাডেমি এওয়ার্ড প্রাপ্ত ডিরেক্টর ক্রাইম থ্রিলার স্পেশালিস্ট ইফতেখার আহমেদ ফাহমি রেকর্ড তেইশবার একাডেমি এওয়ার্ড মনোনীত অভিনেত্রী জাকিয়া বারী মম এবং ডেব্যু মুভিতেই একাডেমি এওয়ার্ড ছিনিয়ে নেয়া শবনম ফারিয়াকে। বাকি দুইজন মহা গুণী বান্দা আছে আমি চিনি না। ক্ষমাপ্রার্থী। অথচ এই মহারথীদেরকে তাদের বিচার কাজ চালানোর আগে হোমওয়ার্ক করার জন্য ইউটিউবে এমিটিভি রোডিসের চ্যানেলে ধরে সাবস্ক্রাইব করিয়ে দিয়েছে। এরকম মাচোদ রানা র অডিশন দেখে আমার স্যানেমা দেখার সাধ মিটে গেসে। ভাই রে হলিউড গ্রেডের সিনেমা বানাবি বলে মাইকিং করতেসস আগে তাদের অডিশন সিস্টেমটা এটলিস্ট শিখ সারা পৃথিবীতে সবাই ছাগল দিয়ে হালচাষ করার সিদ্ধান্ত নিলে মেইসি উইলিয়ামস কখনো আরিয়া স্টার্ক হতো না সুপারব্যাড এ ডেব্যু করা এমা স্টোন একদিন গিয়ে লা লা ল্যান্ড এর জন্য একাডেমি এওয়ার্ড জিতে আসতো না।,1,entertainment
মানুষ যে বাংলা সিনেমা দেখেনা একদম ঠিক আছে। গাধা গর্দভ মাগীবাজ বেশ্যাগুলোরে দিয়ে নাটক আর সিনেমা বানালে সেই নাটক আর সিনেমা রাস্তার গরু ছাগল ছাড়া আর কেউ দেখবে না। মোস্তফা সারোয়ার ফারুকী তৌকির আহমেদের মতো মানুষরা ঠিক করতে পারে কে হবে মাসুদ রানা। তা না করে দুইটা মাগীকে দিছে বিচারকের আসনে সাথে দুইটা মাগীখোরকেও। শবনম ফারিয়া একটা বুটকি হয়ে কিভাবে অভিনেত্রী হয় আবার ছবি করছে মাত্র একখান। ভাভাগো ভাভা দেশে আর কোনো অভিনেত্রী ছিলো নাগো ভাভা !!!! আর মম তো হইছে আরেক বেশ্যা। এখন তো সিনেমা করতে পায় না কেউ নেয় না বিগ বাজেটে বিছানায়। দুই মাগী করছে এতোদিন নাটক এই দুই মাগীরে দিছে নায়ক সিলেক্ট করতে। নিজে ভাত খাইতে পায়না পরের চা খাওয়ার ভুল ধরে। আর একটা মাগীখোর নাটক পরিচালকরে দিছে বিচারক। যত বালছাল মার্কা নাটকের পরিচালকরে বানাইছে নায়ক সিলেক্ট করার জন্য। গাই দিয়ে কি হাল চাষ হয়। বিচারক হতে পেরে এমন ভাব এক একটার মনে হয় যেন তারা না জানি কয়বার অস্কার পাইছে। যত সব ভোদা কারবারির কান্ড কারখানা !!!!,1,entertainment
শালা ভন্ডর গান ভালোই আছে। এর কপালে সব মুসলমানের জুতা,1,religion
বরিশালের মেয়েরা পুরাই পগল,1,"Meme, TikTok and others"
শালা কুকুরের বাচ্চা তুই জারদ সন্তান হারামি কারন গালি দিলে কবিরা গোনাহ তরে পাইলে জুতা পিটা করিব শালা মাজার পুজারী সুন্নী শয়তানের দল আর রেজবী মানি কাফেরের দল,1,religion
তাহেরি কে জনি সিন্স এর মত কাজ দিতে হবে শালা ফালতু,1,religion
হিন্দু র বাচ্চা সে ত বলবে,1,politics
সিফাত যারজ,1,"Meme, TikTok and others"
তোমাদের পুটকি দিয়া জনগন ডিম দেবে ডিম রেডি আছে,1,politics
ওরে চোদার দরকার,1,"Meme, TikTok and others"
এরোকম খানকির পোলাগো মাইরা হালানোর দরকার,1,"Meme, TikTok and others"
এই দালাল মাগি মরার পরে কই য়াবেঅসুর জাতি,1,entertainment
বেটার জীবনে প্রথম এইজন্য এজন্য ভার্জিন মনে হয়েছে যার একটা বাচ্চা হয়ে যায় সে কিভাবে ভার্জিন থাকে ভার্জিন কারে কয় ব্যাটা চেনে না ওটাতো বোকাচোদা,1,entertainment
এর ফাঁসি চাই এই মেয়ে শয়তান,1,"Meme, TikTok and others"
বাংলাদেশ পুরো ক্রিকেট টিম মাগীবাজ...,1,sports
ঐ হিজলা কানকী রে পাটক্ষেতে নিয়া যান কেউ 😷,1,entertainment
কুলাংগার এর বাচ্চা তোর জন্য জাহান্নামের আগুন অপেক্ষায় আছে শুধু তোর মৃত্যু তা জন্য অপেক্ষা মনে রাখিস কুত্তার বাচ্চা তোরে আল্লাহ কেমন শাস্তি দেয়,1,religion
কুত্তার বাচ্চা বলে কী ওরে দরি আবার করা দরকার তাহলে হবে ওদের মতো মেয়েদের কারনে আজ নারী জাতি কে অপমান হতে হয় কুত্তার বচ্চা আবার বলে এইটার বিচার চাই,1,crime
মাদারচোদ জাস্টিস,1,entertainment
অপু উকিল একটা লাইসেন্স করা নটি ওরে শুদু জুতা মারার দরকার,1,politics
মাগি কি বলে রে,1,crime
ঠিক বলেছেন ষ্যাড়😁,1,celebrity
হিজলা নায়ক,1,"Meme, TikTok and others"
"স্যার আপনি একটা বুকাচুদা, লেখালেখি বাদ দেন,বমি আসে আপনার লেখা পডলে।",1,celebrity
ছাগল মাকা পরিচালোক এফডিসি আর কমিটুলা গাফক্লাব এ মভি শেস শালা ফকির মভির লাস্টে বাবার পতিশদ,1,entertainment
ওই শালী তুই লিখলে কি আর বললে কি মাগী সব ভূয়া,1,"Meme, TikTok and others"
কুত্তার বচ্চারা আমার সুনার ছবি বানাইছে বাইন চুদেরা। মাদার চুদ,1,entertainment
ডিজিটাল বাংলাদেশ এগিয়ে যাচ্ছে চোদাচুদিতে,1,crime
খানকির ছেলে তর মায় কি বেসসা ছিল নাকি,1,"Meme, TikTok and others"
বোকাচোদাটাকে সামনে পেলে প্রচুর মার মারতাম খুব করে কেলাতে ইচ্ছে করছে,1,"Meme, TikTok and others"
মাগীবেয়াদব মহিলা তােরনংদে,1,"Meme, TikTok and others"
এতো একটা হিজরা বলদ।,1,politics
সালা তুই পদত্যাগ কর,1,sports
আমার বালের বিচারক হেডার বিচারক থাক আর কিছু বলবো না আমি তো ভদ্র ছেলে,1,entertainment
এইগুলো হলো পতিতা মাগি বেশ্যা খানকি চোদাচুদির তদন্ত করতে চায় খুব মজা পাইছোস না মাগি মজা তুই ও পাইছোস মজা তর স্যার ও পাইছে,1,crime
শালারে রে মার,1,religion
মানে দাড়াল যে বরিশালের মেয়েরা এই রকম মাগী হয়! নায়লার মত সব মাগীদের বরিশাল থেকে লাথথি মেরে বেরে করে দেয়া দরকার।,1,entertainment
একদম খাটি মাগি।,1,entertainment
একটুখানি চাওয়া -- দালালের মুখে দেই আমাদের পাছার হাওয়া!,1,celebrity
মাগি আকাম করার সময় তর বাচ্চা কইছিলো খান্কি,1,crime
এসব কুত্তার বাচ্চা জন্য দেশ নষ্ট হচ্ছে,1,crime
তুই তো তোর বাপের পাছা দিয়ে বাইর হইছোস,1,sports
কবিতা মাসূদ রানা সে হলো কুকুরের ছানা অফিসে বসাইছে আবালের পনা সালামের উত্তর নাই তাদের জানা অষ্টলীয়ার গাইকে তোঁ সবারী চেনা নাটকে দেখায় ধূদের কনা !!,1,entertainment
মদিকেজুতামারাহক,1,"Meme, TikTok and others"
কাকু খুব আকাম চুদাইচ জীবনে,1,"Meme, TikTok and others"
ওবাইদুল কাদের শালায়তো মরে না,1,politics
"জনাব জাফর ইকবাল!   আপনার এই লেখায় আপনি নির্লজ্জভাবে দালালী এবং চামচামি করেছেন। যার এতটুকু জ্ঞান নেই যে একজন ছাত্র কি কষ্ট নিয়ে তার গায়ে লিখলো আমি রাজাকার, কেন লিখলো এ কথা... সে কিনা আবার তা নিয়ে সমালোচনা করতে আসে।   যখন সংসদে দাঁড়িয়ে দেশের একজন মন্ত্রী এত ছাত্রকে রাজাকার বললো তখন তো আপনার গায়ে লাগেনি। নাকি তখন ৭১ এর মত গর্তে লুকিয়ে ছিলেন!?   আপনার মত এমন ভীতু, কাপুরুষ, নির্লজ্জ, পা চাটা চামচা নাকি এদেশের বুদ্ধিজীবী! ভাবতে আমাদের এখন ঘৃণা হচ্ছে। আপনি সামনে আসলে এখন আর আপনার সাথে ছবি উঠার রুচি আসবেনা, গলায় আঙুল ও দেয়া লাগবেনা আপনাকে দেখেই হর হর করে বমি চলে আসবে।",1,celebrity
তরে আড়ং দুধের কম্পানি খুচছে আমার মনে হয় তর চিন্তা দারা তুই বুলো ফিলিম বানাতে চাস তর জাগা বাংলাদেশে নাই তুই সবাই কে নষ্ট করতে চাস খানকি মাগি,1,entertainment
বালের উপস্থাপক।,1,religion
"তদের, মত দুই টাকার মিডিয়ার, মাগির পুতেরা সাব্বির কে নিয়ে সমলচনা করে তদের, মারে চুদি, <br />,সাব্বিরের, বালের সমান, একজন, মানুষ আছেনি এই মাগির, পুতেরা,, শুুধু সাব্বির কে নিয়ে সমলচনা করে তদের কি লাভ,",1,sports
শয়তান মহিলা চোদার খাইস মিঠেনাই কেউ পারলে আবার চুদি দেন,1,crime
এই সপ মাদারের ছবি জে কেডা দেহে,1,entertainment
জনি টা মাদারচোদ ও একটা এর মালিক সালায় একটা মাদারচোদ সাথে তাসকিন হলো মাদারচোদ রোজা রেখে এমন করতেছে,1,sports
হায়রে দুনিয়ার মানুষ একটা মানুষকে এভাবে এতো মানুষের সামনে নির্সংশ ভাবে কোপাচ্ছে সবাই তাকিয়ে দেখছে যেনো কোন মুভির শুটিং চলছে এখানে। ধিক্কার জানাই তাদের এই দারিয়ে থাকা পুরুষগুলোকে। আর ঐ মিন্নি নামক ছলনাময়ী একটা বিশোধর সাপিনীকে যেনো ফাঁসি দেওয়া হয়। ঐ জানোয়ার মেয়েটা এখানে প্রধান খুনি🗡🔪। 😡😡😡,1,crime
যারা রানু বারভাতারিকে করো না তারা একটা দিন,1,"Meme, TikTok and others"
অভার গাজা খাইছা তুইগাজা খোর আবাল,1,sports
আমরা বুঝি কোন ভিডিও আসল আর কোনটা নকল চুদা খাইতে মজা বেশি তাই সেই সময় সন্তানকে কে মনে হয়না,1,crime
ফাটফারের বাচ্চা অন্দু চ্যানেল খুলিয়া ফাজলামি করছ,1,religion
পাপন খানকির পোলা একটা ভারতের বীজ,1,sports
এই কুত্তার বাচ্চা দেওয়ান ভাগী একজন নাস্তিক,1,religion
শালারে যে পাইলে কি করতামআল্লাহ তাকে ধংস করে দাওএমন শাস্তি দেও যাতে দুনায়ায় কেউ বাবা মাকে এমন করতে না পারে,1,"Meme, TikTok and others"
ওয়ারফেইজ চিনে না হালায়!,1,entertainment
ভাল করেছে,1,sports
এমন ছেলেকে গায়ে আগুন দিয়ে মারা উচিত,1,"Meme, TikTok and others"
ভিখারি ভিখারী হয় চাচার লজ্জা হয় আমি লাইক দিয়ে অনেক ভুল করেছি,1,"Meme, TikTok and others"
বালপাকনায় ফেসবুক ও ইউজ করে 🤣 শালা! তুই তাহেরি নিয়া উল্টাপাল্টা কথা কস এইডা বেয়াদবি না?,1,religion
চার মাগির বাচ্চা তোরা সবাইতো ইসলামি বিরোধী খানকিরপোলা।,1,religion
বিচার চুদানোর আগে ইন্ডিয়ার কিছু রিয়েলিটি শো গুলো দেখে নিশ মাদার চোদ রা তোদে তোদের অভিনয় দেখে যতটুকু শ্রদ্ধা করতাম এখন তোদের শুধু চুদতে মন চাচ্ছে খানকির পোলা মাইয়ারা তোদের গালি দিতে শুরু করলে কমেন্টে শেষ হবেনা😡😡,1,entertainment
ওই খানকি মাগিও নাচতিক,1,religion
মাগী সেই নাটকবাজ। ওর নাটক দেখে ওরে কোপাইতে ইচ্ছা করতেছে। ও এই হত্যার সাথে জড়িত।,1,crime
তুইএকটামাগি,1,entertainment
নাস্তিক গুলাকে জুতা পিটানো হোক।,1,religion
এই বাটপার কে ওয়াজের মঞ্চে উঠাইছে কোন সালারা। বয়সে এখন নাকের ময়লা যায় কে উঠাইছে এই বেয়াদব কে।??? সাবধান হইয়া যাও। সবাই,1,religion
আমি বিগোতে টাইগার ফ্যামিলির সদস্য আমরা এসব পতিতাপল্লীত মাগিদের নিয়ে প্রতিবাদ করি,1,"Meme, TikTok and others"
আহারে খানকির পোলা পাপ বাপকেও চাড়ে না,1,crime
হালার পুতেরা স্যার স্যার চোদাস। যাইয়া শালার গালের উপর জুতা দিয়ে মার।,1,crime
দাড়িওয়ালা মাগীর পুলা নটির পুলারে পাইলে জুতা দিয়ে পিটাইতাম,1,entertainment
এদের কে দেশ থেকে হটাও হিজরা জাজ যত্তসব 🇧🇩ধন্যবাদ তাহসিনেশন ব্রো👌,1,entertainment
নুচচা মাগি দূত দেখে বোঝা যায় আর ও যে সব ছবি করছে আর বললাম না থাক,1,"Meme, TikTok and others"
সব খানকির পুত,1,sports
ভাই এই দেওয়ানবাগী কুত্তার বাচ্চা কথা যখন মনে আসে না তখন মুসলমান বইলা দাবি করতেন আমার খুব কষ্ট হয় যেয়ে এ কুত্তার বাচ্চা সেন আমাদের হযরত মুহাম্মদ সাল্লাল্লাহু আলাই সাল্লাম কে নিয়ে কটুক্তি করে তখন গায়ের রক্ত গুলা যে কেমন গরম হয় তা বইলা বুঝাইতে পারবো না ভাই মনে হয় যে গায়ের মাংস গুলো নিজে কামড়াইয়া ছিড়া বালাই যে আমাদের দেশে এমন এক কুত্তার বাচ্চা আছে যে জায়গায় পার্সেন্ট মুসলমান সেই জায়গায় এমন একটা মানুষ বাস করে যাকে থামানোর জন্য কোন বাংলাদেশে কোন লোক নেই,1,religion
ডাইটা মাগী চামচামী আর কত করবি একদিন ইনডিয়ানেরাও তোদের বাচাতে পারবেনা।নির্লজ্জ বেলাহেজ ভোটচোর,1,politics
নোংরামি বোকাচোদা,1,"Meme, TikTok and others"
ওই কুত্তার বাচ্চা জোরে দে...😁😁😁😁 জিনিয়াস রা বুঝবে....,1,entertainment
এই কুকুরের বাচ্চার বিরুদ্ধে আইনি ব্যবস্থা নেয়া হোক,1,crime
ফাসি চাই সালাগর,1,crime
এ সব নাটক করে মানুষকে ধোকা দিতে পারবেন না।এ সরকারের সময়ই একমাত্র জালিয়াতি হয় শিক্ষা ক্ষেত্রে এটা দেশবাসি ভালই জানে।আর আপনি যে একটা পাককা শয়তান।এটাও মানুষ ভাল জানে।,1,celebrity
কুকুর দিয়ে চাটা শালি,1,entertainment
খানকিমাগী পারলে তুই আজকে রাতে মাজা তোর মতন মেয়ে বেচে থেকে কোন লাভ নেই তুই নারীজাতির কলঙ্ক ও,1,entertainment
তাহিরী খাংকির পোলা এর জলমো নাসতিকের বারিত,1,religion
সালাদের বিচিতে আদলা ইট বেঁধে দেয়া হোক,1,crime
ওর বাবা একটা মাগির দালাল ছিল,1,entertainment
শালাদের কেউ পেটা বে,1,entertainment
রুবেল কুত্তা<br /><br />্্,1,sports
খানকির বাচ্চা পাপন তুই কঠিন নাটক বাজতোর বাপে তোর মাকে যে সময় চোদে ঐ সময় তোর বাপ মিথ্যা কথা বলে তোর মাকে চোদছিলআর সেই চুদার ফসল হলি তুই খানকির পোলা পাপন,1,sports
মিন্নি ধ্বষন করা হক বরগুনা বাসী মিন্নি ধ্বষন করে রাস্তার পতিতা বানানো হক ফাসি দিলে হাজার মিন্নি জন্ম হবে,1,crime
সালা ভন্ড ফুটকামাছ তরে জুতাদি বাইরায়বো জনগন সামনে পাইলে সবাই রাজি হালারে জুতামারতে,1,religion
ওবায়েদুল কাদেরের নিষ্পাপ সততা দিয়ে খালেদাজিয়ার সাথে তুলনা করে 😀😀 খালেদাজিয়া দুইবার এ ভোট চুরি করে ক্ষমতায় এসেছে শিস্পাপ আওয়ামীলীগ করি করেছে 😀😀 চুতিয়ার বাচ্চা গুলা। দেশে কি মানুষ নাইরে?? পাবলিক কে কি এতই আবাল মনে করস? পাবলিক বুঝে না কিছু??,1,politics
তুই হইলি একটা উচ্চ পর্যায়ের মাদার চুদ।তুদের মতো দালালরা এই বাংলায় যতদিন থাকবে নতুন কোন মীরজাফরের প্রয়োজন হবেনা।,1,celebrity
ভারতের সাথে জারা খেলবে তারা হলো পাপন কুত্তা পাপন সুয়র। পাপন জানোয়ার পাপন চোর। পাপন বাইনচোদ। পাপন কুলাঙ্গার চুধন জোয়ারি চুদন,1,sports
অারে মাদারচুদ বরগুনার কলেজের ছাএরা এবং কাপুরুষের দল চেয়ে চেয়ে দেখছিল কোপানো।অার পুলিশকে বলছি মিন্নী হল এক নাম্বার আসামী। সে সরাসরি জরিত,1,crime
আরে শালার ভাই শালা ছবি দেখলে দেখ না দেখলে না দেখ খারাপ কমেনস করিস কেনো,1,entertainment
সালার হাত কাটা হোক,1,"Meme, TikTok and others"
মাদার চোদ তুই কতা বলিস না,1,sports
মিজানুর রহমান আজহারী তুই তো ব্যাটা ওহাবীদের দালাল তোর মুখে এসব কথা মানায় না শালা মূর্খ,1,religion
শালারা মজা করে,1,sports
এরে শালার ভাই তুই আমেরিকাতে একজন বালের ব্যবসায়ী। তুই কি ব্যবসা করিস? আসলে তুই একটা দালাল। ইউটিউবার দালাল। ইউটিউবার ফকির। ইউটিউবে কিছু ভিডিও দিয়ে সেখানে কামাই করে চলিস। তা না হলে কাদেরের ঘড়ি নিয়ে এতো আলোচনা কিসের। বাংলাদেশে এখনো হাজারো লোক আছে যারা এর থেকেও দামী দামী ঘড়ি কিনে ব্যবহার করে থাকেন। তুই যে ঘড়ির দাম বলেছিস এগুলো কি কোন মানুষ তাকে উপহার হিসাবে দিতে পারে না? সব ঘড়ি কি কিনতে হবে? তুই কার দালাল সব কিছু তোর শেষের দিকের কথায় বুঝা গেছে। আসলে তোদের মত অকর্মঠ বলদ মার্কা লোকদের এই কাজগুলো করাই স্বাভাবিক। তুই সব জানিস বাল জানিস বাইনচোদ।,1,politics
কিসের তদন্ত খানকির পোলা তদন্ত করলে তো তুই মাপ পেয়ে জাবি লজ্জা থাকলে এখানে এসে হাসতি না বেয়াদব,1,crime
বন্ডর ঘরের বন্ডর বাচ্চা ভন্ডদের কারণে বাংলা দেশটা ধ্বংস হয়ে গেছে ভন্ডদের যেদিন ফাঁসির কাষ্ঠে ঝুলিয়ে মারা হবে সেদিন বাংলাদেশে ভন্ড মুক্ত হবে,1,religion
তোর কপালে জুতা মারি শালার পুত,1,sports
এর তদন্ত করবে সরকার এরা ত সরকারের পা চাটা গুলাম তাই এরা অপরাদ করলে সরকার তার তদন্তের দায়িত্ব নিবে। এরা সরকারের কু করমের ফসল। সাবাস বাংলাদেশ বাংগা দেশ ছি ছি ছি থু থু থু সরকারের পা চাটা গুলাম।,1,crime
দুর মাগি রাতে বেগুন ডুকাই শুয়ে থাকিস,1,"Meme, TikTok and others"
ছিঃ মাগি ছিঃ,1,crime
জুতার বারি সালা লুচ্চামি চুদাও হ্যাকার দোষ দেও ওর ফাসি চাই না হলে অন্য এসপি ডিসিদের কোনো দামি থাকবে না,1,crime
সালারে হরা আগে,1,sports
হারামির বাচ্চারে আর ওই ব‌উটারে আইনের আওতায় দেওয়া উচিৎ এমন বিচার হওয়া উচিৎ যাতে ভবিষ্যতে এই ধরনের কুলাঙ্গার সমাজে স্থান না পায়,1,"Meme, TikTok and others"
মাদারচোদ রা তোদের কি কাজ কাম নেই,1,crime
তর জতা মারি কুততা দেওয়ানবাগি,1,religion
এক হাতে তালি বাজে না এখানে ওই খানকির ও দোষ আছে যত নষ্টের গোড়া ওই খানকি,1,crime
ঔ মাগি তুই এত হলি সবকিছু মূল খলনাইকা,1,crime
ধরা পড়লে হয় চোর ধরা না পড়লে মহা সাধু দেশে এমন মুখোশধারী বহু লুচ্চা বদমাশ আছে যারা ধরা না পড়ে সমাজে সাধু সেজে বসে আছে।।।,1,crime
পাপন মাদারচোদওর ফাঁসি হয়া দরকার,1,sports
"বালের দালাল, এক কঠিন ভাদা..",1,celebrity
পাগল ছাগল,1,politics
ভাই তুই ঠিক আছোস তো?তোর মুখে দাড়ি টুপি কই তুই তো মালাউন এর বাচ্চা প্রতারক কথা কাজে মিল নেই মুকাফেক তুই পিকচার এ দিলি হাফিজুর রহমান এর পিকচার কিন্তু ভিডিও তে প্রুফ দিলি কই ? সালার চ্যানেলে সবাই রিপোর্ট মারো,1,religion
মনে আচে কি বিগত দিনের কথা এর মানে কি। খানগির পোলারা বাইচোদ আমি যদি পেথাম মাদার চোদকে জুতা দিয়া পেটাইতাম।।।,1,entertainment
সালা তুই যে কত বড় বাটপার তোর ওয়াজ শুনলে বুঝা যায়,1,religion
আমার মনে হয় এর জন্ম পতিতালয়ে । কারণ সে জাহান্নমে যাবে ।,1,entertainment
তোরা দুই মাদারচোদ নিজের পুটকি সাফ কর খানকির পুত,1,entertainment
কুত্তালীগের বিলুপ্ত চাই,1,politics
ভাইরে বাংলা ছবি এখন আর কেউ দেখে না অজথা এই বালডি বাছাই না কইরা চাইনা সিনেমা গুলো ডাবিং কর। তোদের ধান্দা বাচবো😑,1,entertainment
এই শাউয়া দুইটা সৌভিক আর জাকি এই হ্যাডার পোলা গোরে কেন এই ধরনের নাটকে নেই আল্লাহ জানে,1,entertainment
চুদির ভাই,1,"Meme, TikTok and others"
সামনে পেলে এই কুলাঙ্গারকে দেখিয়ে দিতাম,1,"Meme, TikTok and others"
নায়িকার অভিনয় শেখ হাসিনার মত ডাইনি,1,entertainment
ভিক্ষা করতো এইটাই ভালো ছিলো পাগল ছাগল আবার ইংলিশ বলে মানুষ ওকে দয়া করেছে আর সে কি ভাভ দেখায়,1,"Meme, TikTok and others"
সালার পুটকি দিয়া গরম ডিম দিলে সব সত্য কথা বাইর হবে,1,crime
খানকিমাগি মিন্নি চুতমারানি মারাইছে ওর লাং দিয়া ছেলেডারে মিন্নি মাগির ফাসি হোক,1,crime
সব কয়জন আমার শালা শালি,1,entertainment
আরে তুই তো মাগি,1,crime
সালার আবাল তোর লজ্জা সরম নাই আবার বলে ঘটনা টি খতিয়ে দেখবে।,1,crime
হিন্দু খানকিরে ভারত পাঠা,1,politics
তোই কি তোর সামিকে রাতে সময় দেচ নাকি তোর মাথায় কপর কৈ মাগি,1,politics
স্যার কিছু করে নাই তো মিনিট আপনি স্যারের বিছানায় লুটু পুটু খেলছে নাকি মাগি আবার বলে বাচ্চার কেন ইচ্ছে নাই ছেলের জন্য বেছে আছে।,1,crime
মানুষের অডিশনে বিচারের দায়িত্বে মানুষকেই রাখা উচিত ছিল। কুকুরকে কেন বিচারকের আসনে বসাতে হবে রে ভাই 🤔🤔🤔 মোস্তফা রাজ😍😍 এবং ফারিয়া😍😍ব্যতীত কোন বিচারককে তো মানুষ বললে ভুল হবে।,1,entertainment
অামরা দেখেছি শুধু ডিসি দেখিনি ও কিছু করেনি কুলাঙ্গার ডিসি এর চাকুরি হতে বহিষ্কার করা হোক,1,crime
এজন্যই বলে আবালচোদা বাঙালী। সৌভিক ১০০% এটার পরিকল্পনা আগে থেকেই জানে।,1,entertainment
মাতারি,1,politics
নাস্তিক কানকিপোলা গোরে এই বাংলাদেরের রাকা হয়েছে কেনো,1,religion
এসব মাগীদের কে চাকরি দেয় কোন লুচ্চায়,1,crime
নাস্তিকের মারে চুদি,1,religion
উনাকে উচিত শিক্ষা দেওয়া হোক এই জানোয়ারের বাচ্চা যেন এরকম কাজটা করে,1,"Meme, TikTok and others"
